       Čas    Pozicija X    Pozicija Y     Hitrost  Dejanska hitrost      Smer   Razdalja do B   Odmik od trase
     [min]      [100 km]      [100 km]      [km/h]            [km/h]       [°]        [100 km]         [100 km]
---------------------------------------------------------------------------------------------------------------
         0        0.0000        0.0000        0.00              0.00      53.0         5.00000         0.000000
         1        0.0002        0.0019        2.00             11.66      53.1         4.99833         0.001000
         2        0.0006        0.0041        4.00             13.25      48.1         4.99634         0.001942
         3        0.0014        0.0064        6.00             14.77      43.1         4.99402         0.002768
         4        0.0024        0.0089        8.00             16.21      38.1         4.99140         0.003423
         5        0.0038        0.0115       10.00             17.59      33.1         4.98850         0.003853
         6        0.0056        0.0141       12.00             18.90      28.1         4.98535         0.004008
         7        0.0077        0.0167       14.00             20.15      23.1         4.98200         0.003841
         8        0.0101        0.0196       16.00             22.46      27.7         4.97826         0.003695
         9        0.0127        0.0228       18.00             24.69      31.0         4.97414         0.003567
        10        0.0154        0.0263       20.00             26.86      33.6         4.96967         0.003453
        11        0.0184        0.0301       22.00             28.99      35.6         4.96484         0.003349
        12        0.0216        0.0342       24.00             31.09      37.3         4.95966         0.003255
        13        0.0250        0.0386       26.00             33.17      38.6         4.95413         0.003168
        14        0.0286        0.0432       28.00             35.24      39.7         4.94826         0.003087
        15        0.0324        0.0482       30.00             37.30      40.7         4.94204         0.003012
        16        0.0361        0.0532       30.00             37.39      41.5         4.93581         0.003008
        17        0.0399        0.0581       30.00             37.39      41.5         4.92958         0.003004
        18        0.0436        0.0631       30.00             37.39      41.5         4.92335         0.003000
        19        0.0473        0.0681       30.00             37.39      41.5         4.91711         0.002996
        20        0.0511        0.0731       30.00             37.39      41.5         4.91088         0.002993
        21        0.0548        0.0781       30.00             37.39      41.5         4.90465         0.002989
        22        0.0586        0.0831       30.00             37.39      41.5         4.89842         0.002985
        23        0.0623        0.0880       30.00             37.39      41.5         4.89219         0.002981
        24        0.0660        0.0930       30.00             37.39      41.5         4.88596         0.002977
        25        0.0698        0.0980       30.00             37.39      41.5         4.87973         0.002974
        26        0.0735        0.1030       30.00             37.39      41.5         4.87349         0.002970
        27        0.0773        0.1080       30.00             37.39      41.5         4.86726         0.002966
        28        0.0810        0.1130       30.00             37.39      41.5         4.86103         0.002962
        29        0.0848        0.1179       30.00             37.39      41.5         4.85480         0.002958
        30        0.0885        0.1229       30.00             37.39      41.5         4.84857         0.002955
        31        0.0922        0.1279       30.00             37.39      41.5         4.84234         0.002951
        32        0.0960        0.1329       30.00             37.39      41.5         4.83610         0.002947
        33        0.0997        0.1379       30.00             37.39      41.5         4.82987         0.002943
        34        0.1035        0.1429       30.00             37.39      41.5         4.82364         0.002939
        35        0.1072        0.1478       30.00             37.39      41.5         4.81741         0.002936
        36        0.1109        0.1528       30.00             37.39      41.5         4.81118         0.002932
        37        0.1147        0.1578       30.00             37.39      41.5         4.80495         0.002928
        38        0.1184        0.1628       30.00             37.39      41.5         4.79872         0.002924
        39        0.1222        0.1678       30.00             37.39      41.5         4.79248         0.002921
        40        0.1259        0.1727       30.00             37.39      41.5         4.78625         0.002917
        41        0.1297        0.1777       30.00             37.39      41.5         4.78002         0.002913
        42        0.1334        0.1827       30.00             37.39      41.5         4.77379         0.002909
        43        0.1371        0.1877       30.00             37.39      41.5         4.76756         0.002905
        44        0.1409        0.1927       30.00             37.39      41.5         4.76133         0.002902
        45        0.1446        0.1977       30.00             37.39      41.5         4.75509         0.002898
        46        0.1484        0.2026       30.00             37.39      41.5         4.74886         0.002894
