       Čas    Pozicija X    Pozicija Y     Hitrost  Dejanska hitrost      Smer   Razdalja do B   Odmik od trase
     [min]      [100 km]      [100 km]      [km/h]            [km/h]       [°]        [100 km]         [100 km]
---------------------------------------------------------------------------------------------------------------
         0        0.0000        0.0000        0.00              0.00      53.0         5.00000         0.000000
         1        0.0002        0.0019        2.00             11.66      53.1         4.99833         0.001000
         2        0.0006        0.0041        4.00             13.42      53.1         4.99633         0.002000
         3        0.0012        0.0066        6.00             15.23      53.1         4.99400         0.002999
         4        0.0020        0.0093        8.00             17.09      53.1         4.99133         0.003999
         5        0.0030        0.0123       10.00             18.97      53.1         4.98834         0.004997
         6        0.0042        0.0156       12.00             20.88      53.1         4.98500         0.005995
         7        0.0056        0.0191       14.00             22.80      53.1         4.98134         0.006993
         8        0.0072        0.0229       16.00             24.73      53.0         4.97734         0.007989
         9        0.0090        0.0270       18.00             26.68      53.0         4.97301         0.008984
        10        0.0110        0.0313       20.00             28.63      53.0         4.96834         0.009978
        11        0.0132        0.0359       22.00             30.59      53.0         4.96335         0.010971
        12        0.0156        0.0408       24.00             32.55      53.0         4.95801         0.011962
        13        0.0182        0.0459       26.00             34.51      53.0         4.95235         0.012951
        14        0.0210        0.0513       28.00             36.48      53.0         4.94635         0.013939
        15        0.0241        0.0570       30.00             38.46      53.0         4.94002         0.014925
        16        0.0271        0.0626       30.00             38.46      53.0         4.93369         0.015910
        17        0.0301        0.0683       30.00             38.46      52.9         4.92736         0.016894
        18        0.0331        0.0739       30.00             38.45      52.9         4.92103         0.017877
        19        0.0361        0.0796       30.00             38.45      52.9         4.91470         0.018858
        20        0.0391        0.0852       30.00             38.45      52.9         4.90837         0.019839
        21        0.0421        0.0909       30.00             38.45      52.9         4.90204         0.020819
        22        0.0452        0.0965       30.00             38.45      52.9         4.89572         0.021798
        23        0.0482        0.1022       30.00             38.45      52.9         4.88939         0.022776
        24        0.0512        0.1079       30.00             38.45      52.9         4.88306         0.023752
        25        0.0542        0.1135       30.00             38.45      52.9         4.87673         0.024728
        26        0.0572        0.1192       30.00             38.45      52.8         4.87040         0.025703
        27        0.0603        0.1248       30.00             38.45      52.8         4.86407         0.026676
        28        0.0633        0.1305       30.00             38.45      52.8         4.85775         0.027649
        29        0.0663        0.1361       30.00             38.44      52.8         4.85142         0.028620
        30        0.0693        0.1418       30.00             38.44      52.8         4.84509         0.029591
        31        0.0724        0.1474       30.00             38.44      52.8         4.83876         0.030560
        32        0.0754        0.1530       30.00             38.44      52.8         4.83244         0.031529
        33        0.0784        0.1587       30.00             38.44      52.8         4.82611         0.032496
        34        0.0814        0.1643       30.00             38.44      52.7         4.81978         0.033462
        35        0.0845        0.1700       30.00             38.44      52.7         4.81346         0.034428
        36        0.0875        0.1756       30.00             38.44      52.7         4.80713         0.035392
        37        0.0905        0.1813       30.00             38.44      52.7         4.80081         0.036355
        38        0.0935        0.1869       30.00             38.44      52.7         4.79448         0.037317
        39        0.0966        0.1926       30.00             38.43      52.7         4.78815         0.038278
        40        0.0996        0.1982       30.00             38.43      52.7         4.78183         0.039238
        41        0.1026        0.2038       30.00             38.43      52.7         4.77550         0.040197
        42        0.1057        0.2095       30.00             38.43      52.6         4.76918         0.041155
        43        0.1087        0.2151       30.00             38.43      52.6         4.76286         0.042112
        44        0.1117        0.2208       30.00             38.43      52.6         4.75653         0.043068
        45        0.1148        0.2264       30.00             38.43      52.6         4.75021         0.044023
        46        0.1178        0.2320       30.00             38.43      52.6         4.74388         0.044976
